OrderID,NoOfRolls,NoOfSystems,MillType1ID,MillType2ID,MillType3ID,System1ID,System2ID,ClientInterfaceID,HMIID,SWReleaseID,MSSCommID,BendingSystem,CoolingSystem,FlatnessLogger,MSS,MST,TSS,MTG,RPM,StripSpeed,MaxTension,MinTension,MaxWrapAngle,MinWrapAngle,MaxStress,MinStress,MaxTW,MinTW,MaxStripTemp,MaxWidth,MinWidth,MaxThickness,MinThickness,MaxEqLoad,MinEqLoad,DoubleFoil,RollPositionID,TotalNoOfZones,NoOf52mmZones,NoOf26mmZones,BearingCentreDistance,LongJournalLength,LongJournals,HighTempCon,RaSTR,RaStrip,RollTypeID,RollDiameterID,BearingTypeID,BearingHouseID,BearingDiameterID,SealingTypeID,ShaftMaterialID,SignalTransUnitID,RollSurfaceID,RollRepairID,StripCooling,GearBox,Cooling_NumberOfZones,Cooling_MaxWorkrollDiameter,Cooling_MaxStripThickness,Cooling_MaxRPMOnWorkroll,Cooling_TotalCoolingAmount,Cooling_PressureRegulator,DriveSystemTypeID,DriveSystemID,Voltage,Power
284,1.0,1.0,8.0,1.0,2.0,9.0,2.0,1,,11.0,0.0,False,False,False,False,False,False,False,0.1533048504649409,610.0,0.002719238613188307,0.0011250000000000001,0.27222222222222225,0.018467852257181942,250.0,20.0,321.1000061035156,31.5,0.0,840.0,610.0,1.5,0.1299999952316284,2934.0,290.0,False,9.0,0.21250000000000002,0.3090909090909091,0.0,0.46022727272727276,,False,False,,,1.0,3,6.0,3.0,3.0,3.0,1.0,3.0,1.0,,,No,,,,,,,,,,
285,1.0,1.0,2.0,1.0,2.0,9.0,2.0,1,,11.0,0.0,False,False,False,False,False,False,False,0.1055541593365167,420.0,0.003399048266485384,0.005,0.08611111111111111,0.0027359781121751026,150.0,20.0,380.0,13.0,0.0,1550.0,650.0,5.0,0.4000000059604645,3008.0,37.0,False,2.0,0.3875,0.5636363636363636,0.0,0.46022727272727276,,False,False,,,1.0,3,2.0,3.0,3.0,3.0,1.0,3.0,1.0,,,No,,,,,,,,,,
287,1.0,1.0,3.0,15.0,1.0,9.0,1.0,3,,11.0,0.0,False,False,False,False,False,False,False,0.3015833123900477,1200.0,0.000822569680489463,0.000949999988079071,0.05555555555555556,0.0047879616963064295,300.0,100.0,130.0,8.0,0.0,1270.0,457.0,0.5,0.025000000372529,604.0,37.0,False,2.0,0.3125,0.45454545454545453,0.0,0.37272727272727274,,False,False,,,1.0,3,2.0,3.0,3.0,3.0,1.0,3.0,1.0,,,No,,,,,,,,,,
289,1.0,1.0,2.0,5.0,1.0,9.0,2.0,1,,11.0,4.0,True,True,True,True,False,False,False,0.47499371701432513,1890.0,0.0009789259007477907,0.00175,0.21666666666666667,0.009575923392612859,0.0,0.0,118.0,5.0,0.0,1575.0,610.0,2.900000095367432,0.2399999946355819,1086.0,37.0,False,2.0,0.4,0.5818181818181818,0.0,0.46022727272727276,374.0,True,False,,,1.0,3,2.0,3.0,3.0,3.0,1.0,12.0,1.0,,,No,32.0,0.0,2.900000095367432,1922.0,0.0,False,,1.0,0.0,0.0
290,2.0,1.0,3.0,1.0,2.0,9.0,1.0,3,,11.0,0.0,False,False,False,False,False,False,False,0.12565971349585323,500.0,0.0031271244051665533,0.015,0.05555555555555556,0.006839945280437756,200.0,70.0,460.0,57.0,0.0,1050.0,500.0,4.0,0.0799999982118606,2815.0,349.0,False,9.0,0.42500000000000004,0.14545454545454545,0.3939393939393939,0.46022727272727276,,False,False,,,1.0,3,2.0,3.0,3.0,3.0,1.0,3.0,4.0,,,No,,,,,,,,,,
291,1.0,1.0,2.0,5.0,1.0,9.0,1.0,3,,11.0,0.0,False,False,False,False,False,False,False,0.545363156572003,2170.0,0.0005329707785579804,0.002450000047683716,0.04777777989705404,0.005882353202099676,130.0,40.0,47.79999923706055,10.5,0.0,1300.0,508.0,1.0,0.1000000014901161,292.0,64.0,False,2.0,0.35000000000000003,0.509090909090909,0.0,0.46022727272727276,,False,False,,,1.0,3,5.0,3.0,3.0,3.0,1.0,12.0,2.0,,,No,,,,,,,,,,
293,3.0,1.0,8.0,1.0,2.0,9.0,2.0,1,,11.0,0.0,False,False,False,True,True,False,False,0.20105554159336514,800.0,0.006798096532970768,0.0125,0.03888888888888889,0.0047879616963064295,400.0,50.0,800.0,30.0,0.0,1300.0,600.0,5.0,0.1000000014901161,3723.0,140.0,False,9.0,0.325,0.4727272727272727,0.0,0.46022727272727276,,False,False,,,1.0,3,2.0,3.0,3.0,3.0,1.0,12.0,2.0,,,No,,,,,,,,,,
294,2.0,1.0,9.0,1.0,2.0,9.0,2.0,1,,11.0,0.0,False,False,False,False,False,False,False,0.15079165619502385,600.0,0.0020394289598912306,0.00075,0.2777777777777778,0.013679890560875513,600.0,50.0,600.0,5.5,0.0,550.0,250.0,2.5,0.050000000745058,5542.0,50.0,False,9.0,0.28750000000000003,0.0,0.3484848484848485,0.46022727272727276,30.0,True,False,,,1.0,3,2.0,3.0,3.0,3.0,1.0,12.0,2.0,,,No,,,,,,,3.0,2.0,0.0,0.0
295,1.0,1.0,2.0,1.0,1.0,9.0,5.0,3,,11.0,0.0,False,False,False,False,False,False,False,0.17341040462427745,690.0,0.002379333786539769,0.00075,0.25444444020589196,0.006497948016415869,50.0,10.0,151.6999969482422,2.900000095367432,0.0,1727.0,813.0,4.059999942779541,0.1500000059604644,1359.0,17.0,False,2.0,0.42500000000000004,0.6181818181818182,0.0,0.46022727272727276,40.0,True,False,,,1.0,3,2.0,3.0,3.0,3.0,1.0,12.0,1.0,,,No,,,,,,,,,,
296,1.0,1.0,2.0,1.0,1.0,10.0,2.0,1,,8.0,0.0,False,False,False,False,True,False,False,0.2261874842925358,900.0,0.0013324269204622705,0.00125,0.08333333333333334,0.010259917920656635,55.0,30.0,89.0,3.299999952316284,0.0,1800.0,900.0,2.0,0.1500000059604644,819.0,21.0,False,2.0,0.45,0.6545454545454545,0.0,0.46022727272727276,,False,False,,,1.0,3,2.0,3.0,3.0,3.0,1.0,11.0,1.0,,,No,,,,,,,3.0,2.0,0.0,0.0
297,1.0,1.0,2.0,3.0,1.0,9.0,2.0,1,,11.0,4.0,False,False,False,True,False,False,False,0.15079165619502385,600.0,0.0004758667573079538,0.000125,0.3055555555555556,0.019151846785225718,200.0,15.0,100.0,2.0,0.0,540.0,250.0,2.200000047683716,0.0599999986588954,909.0,18.0,False,2.0,0.21250000000000002,0.09090909090909091,0.18181818181818182,0.46022727272727276,,False,False,,,1.0,3,2.0,3.0,3.0,3.0,1.0,12.0,1.0,,,No,,,,,,,3.0,2.0,0.0,0.0
298,1.0,1.0,2.0,1.0,1.0,9.0,2.0,1,,11.0,0.0,False,False,True,False,False,False,False,0.3166624780095501,1260.0,0.0001495581237253569,5.000000074505806e-05,0.1277777777777778,0.01573187414500684,60.0,10.0,0.0,0.0,0.0,1750.0,950.0,0.4000000059604645,0.0120000001043081,0.0,0.0,False,2.0,0.45,0.6545454545454545,0.0,0.46022727272727276,,False,False,0.4,,3.0,2,1.0,3.0,1.0,3.0,1.0,11.0,1.0,,,No,,,,,,,3.0,2.0,0.0,0.0
299,1.0,1.0,2.0,1.0,2.0,9.0,2.0,1,,11.0,0.0,False,False,True,False,False,False,False,0.10052777079668257,400.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,21.200000762939453,0.0,470.0,230.0,3.0,0.2000000029802322,1137.0,176.0,False,2.0,0.23750000000000002,0.0,0.2878787878787879,0.46022727272727276,-141.0,True,False,,,1.0,3,1.0,3.0,1.0,3.0,1.0,12.0,2.0,,,No,,,,,,,3.0,2.0,0.0,0.0
