epoch,train,val
1,0.6177431113190122,0.22906833589076997
2,0.18955951929092407,0.13802842199802398
3,0.13418014181984794,0.10589319914579391
4,0.11005543834633297,0.09596423357725144
5,0.10623237821790907,0.08952311277389527
6,0.09223127654857105,0.08238696306943893
7,0.08568050008681086,0.07951646968722344
8,0.08000039433439572,0.07425686717033386
9,0.0788410757150915,0.07303137928247452
10,0.07615735092096859,0.06901251226663589
11,0.06920045221017466,0.06957079544663429
12,0.06984120441807641,0.06387421935796737
13,0.07076234825783306,0.06327681392431259
14,0.06586893213291962,0.06261039599776268
15,0.06562511229680644,0.061172107607126235
16,0.06403930361072223,0.05756311938166618
17,0.06253020827554995,0.0580707773566246
18,0.05951559295256933,0.05550558716058731
19,0.06588551836709182,0.057136939465999605
20,0.059194866153928966,0.05381926074624062
21,0.05827316352062755,0.051478850096464156
22,0.06048658966190285,0.053050972521305084
23,0.05597285936690039,0.05071827620267868
24,0.05697072400814957,0.05048580914735794
25,0.05391827318817377,0.048081033676862714
26,0.053562984491388,0.049189730733633044
27,0.05419778803156482,0.051510044187307355
28,0.055563351346386805,0.04566535465419293
29,0.05244199797097179,0.04702806137502193
30,0.049464368985758886,0.04721643775701523
31,0.05698652068773905,0.04681175947189331
32,0.055326151558094554,0.04387902617454529
33,0.04831650832460986,0.042390429973602296
34,0.048887173334757485,0.048563887178897855
35,0.046091690090381436,0.043951967358589174
36,0.04845637921243906,0.04495804160833359
37,0.04483168080656065,0.044077093526721
38,0.046444878396060735,0.04345017485320568
39,0.04892083671357897,0.04231588877737522
40,0.046493228835364185,0.043899399042129514
41,0.042678981760723725,0.0431555014103651
42,0.04545613766337434,0.042400195449590686
43,0.045040596483482256,0.04206354655325413
44,0.0437941276985738,0.045642105489969255
45,0.05165181143416299,0.04198044091463089
46,0.04998990148305893,0.0417921531945467
47,0.043847150893674955,0.04329069331288338
48,0.04591755817333857,0.04094166122376919
49,0.04371118519662155,0.04315280690789223
50,0.046918041797147855,0.04142856672406196
51,0.04347172565758228,0.042050591483712194
52,0.04337999400579267,0.0405782051384449
53,0.04371328300072087,0.04056683778762817
54,0.04267576616257429,0.04079772420227527
55,0.042984874401655465,0.03862457647919655
56,0.04304252057853672,0.03858517557382583
57,0.04260364707766308,0.040461141243577005
58,0.0490511939343479,0.040709799900650975
